unit,sex,age,isced11,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC,T,Y20-64,TOTAL,HR	12.2 b	10.8 b	9.4 	8.1 	8.8 	11.1 	13.2 	15.5 	16.6 	16.5 	15.5 	12.5 
PC,T,Y20-64,TOTAL,HU	7.0 b	7.3 	7.3 	7.7 	9.9 	11.1 	11.0 	10.9 	10.0 	7.6 	6.7 	5.0 
PC,T,Y20-64,TOTAL,IE	4.1 b	4.1 	4.4 b	6.1 	11.7 b	13.6 	14.4 	14.4 	12.9 	11.1 	9.2 	7.7 
PC,T,Y20-64,TOTAL,IS	2.1 b	2.0 	1.6 	2.2 	6.6 	6.8 	6.4 	5.3 	4.8 	4.4 	3.5 	2.8 
PC,T,Y20-64,TOTAL,IT	7.4 b	6.5 	5.8 	6.4 	7.5 	8.1 	8.1 	10.3 	11.9 	12.5 	11.7 	11.5 
PC,T,Y20-64,TOTAL,LT	8.3 b	5.7 	4.2 	5.7 	13.7 	17.8 	15.4 	13.5 	11.9 	10.8 	9.2 	8.0 
PC,T,Y20-64,TOTAL,LU	4.3 b	4.4 	3.8 b	4.9 	4.9 b	4.2 	4.8 	5.0 	5.7 	5.6 	6.3 b	5.9 
PC,T,Y20-64,TOTAL,LV	9.7 b	6.7 	5.8 	7.6 	17.3 	19.3 	16.1 	14.9 	11.9 	10.9 	9.9 	9.8 
PC,T,Y20-64,TOTAL,MK	: 	35.4 	34.3 	33.3 	31.7 	31.6 	31.0 	30.7 	28.5 	27.5 	26.0 	23.4 
PC,T,Y20-64,TOTAL,MT	5.6 b	5.6 	5.4 	4.9 	5.9 	6.0 	5.6 	5.5 	5.7 	5.3 	4.9 	4.3 
PC,T,Y20-64,TOTAL,NL	4.3 b	3.5 	2.8 	2.4 	3.0 	4.0 b	4.4 b	5.2 	6.7 	6.9 	6.4 	5.5 
PC,T,Y20-64,TOTAL,NO	3.8 b	3.0 b	2.1 	2.0 	2.6 	3.1 	2.9 	2.8 	3.0 	3.3 	4.0 	4.3 
PC,T,Y20-64,TOTAL,PL	17.7 b	13.8 	9.6 	7.0 	8.1 	9.5 b	9.5 	10.0 	10.2 	8.9 	7.4 	6.1 
PC,T,Y20-64,TOTAL,PT	7.8 b	7.8 	8.2 	7.7 	9.7 	11.1 	12.8 b	15.8 	16.5 	14.1 	12.5 	11.2 
PC,T,Y20-64,TOTAL,RO	7.0 b	7.0 	6.3 	5.6 	6.7 	7.0 b	7.2 	6.7 	7.1 	6.7 	6.7 	5.7 
PC,T,Y20-64,TOTAL,SE	6.8 b	6.1 	5.1 	5.1 	7.3 	7.6 	6.9 	7.1 	7.1 	7.1 	6.7 	6.3 
PC,T,Y20-64,TOTAL,SI	6.5 b	5.9 	4.8 	4.3 	5.8 	7.3 	8.2 	8.9 	10.2 	9.8 	9.0 	8.1 
PC,T,Y20-64,TOTAL,SK	15.7 b	12.8 	10.7 	9.2 	11.7 	14.0 	13.2 b	13.6 	13.9 	12.9 	11.3 	9.5 
PC,T,Y20-64,TOTAL,TR	: 	8.4 	8.5 	9.4 	12.2 	10.5 	8.6 	8.0 	8.6 	9.7 b	10.0 	10.7 
PC,T,Y20-64,TOTAL,UK	4.0 b	4.5 	4.4 b	4.8 b	6.6 	6.8 	7.0 	6.9 	6.7 	5.4 	4.6 	4.3 
PC,T,Y25-29,TOTAL,AT	6.5 b	6.2 	5.9 b	5.1 	7.0 	6.5 	5.8 	6.5 	7.3 	7.2 	6.3 	7.0 
PC,T,Y25-29,TOTAL,BE	10.4 b	10.1 	10.0 	9.0 	10.3 	11.6 	9.9 b	11.1 	11.5 	11.9 	11.4 	10.8 
PC,T,Y25-29,TOTAL,BG	11.0 b	10.3 	7.5 	6.4 b	8.1 	12.7 b	15.0 b	15.9 	17.6 	14.4 	10.7 	9.9 
